   lamda     c0    c1      c2
  428.908428     4.56800E-03     1.42300E-05    -5.85700E-08
  429.000429     4.55000E-03     1.41900E-05    -5.91600E-08
  429.092469     4.54500E-03     1.41100E-05    -5.98100E-08
  429.184549     4.54100E-03     1.41100E-05    -5.88300E-08
  429.276669     4.53900E-03     1.40300E-05    -6.00400E-08
  429.368828     4.53300E-03     1.40300E-05    -5.84400E-08
  429.461026     4.53000E-03     1.39200E-05    -6.02900E-08
  429.553265     4.52700E-03     1.38800E-05    -6.02100E-08
  429.645542     4.52300E-03     1.38400E-05    -6.00500E-08
  429.737860     4.52000E-03     1.38000E-05    -5.98200E-08
  429.830217     4.51700E-03     1.36800E-05    -6.16700E-08
  429.922614     4.51400E-03     1.36400E-05    -6.14500E-08
  430.015051     4.51600E-03     1.36400E-05    -6.04200E-08
  430.107527     4.54200E-03     1.35600E-05    -6.19600E-08
  430.200043     4.56900E-03     1.36000E-05    -6.09000E-08
  430.292599     4.59500E-03     1.36000E-05    -6.04800E-08
  430.385195     4.62200E-03     1.36000E-05    -6.01300E-08
  430.477830     4.64800E-03     1.36000E-05    -6.02700E-08
  430.570506     4.67500E-03     1.36400E-05    -5.82300E-08
  430.663221     4.70300E-03     1.36000E-05    -5.96000E-08
  430.755977     4.72900E-03     1.36000E-05    -5.96000E-08
  430.848772     4.75500E-03     1.35600E-05    -5.89600E-08
  430.941607     4.78100E-03     1.35600E-05    -5.89600E-08
  431.034483     4.82500E-03     1.36000E-05    -5.89300E-08
  431.127398     4.89500E-03     1.37500E-05    -5.81500E-08
  431.220354     4.96600E-03     1.38300E-05    -6.07800E-08
  431.313349     5.03600E-03     1.39900E-05    -6.00000E-08
  431.406385     5.10700E-03     1.40300E-05    -6.20500E-08
  431.499461     5.17700E-03     1.41800E-05    -6.12600E-08
  431.592577     5.24800E-03     1.42200E-05    -6.32500E-08
  431.685733     5.31800E-03     1.43700E-05    -6.24600E-08
  431.778929     5.38800E-03     1.44500E-05    -6.30800E-08
  431.872166     5.45700E-03     1.46100E-05    -6.23000E-08
  431.965443     5.52800E-03     1.46900E-05    -6.35300E-08
  432.058760     5.59600E-03     1.48000E-05    -6.41700E-08
  432.152118     5.66400E-03     1.49600E-05    -6.54100E-08
  432.245515     5.73200E-03     1.49900E-05    -6.88600E-08
  432.338954     5.79700E-03     1.51900E-05    -6.73200E-08
  432.432432     5.86700E-03     1.53100E-05    -6.99800E-08
  432.525952     5.93200E-03     1.53800E-05    -7.06000E-08
  432.619511     6.00200E-03     1.55000E-05    -7.32600E-08
  432.713111     6.06700E-03     1.56200E-05    -7.45300E-08
  432.806752     6.13500E-03     1.57300E-05    -7.51700E-08
  432.900433     6.20300E-03     1.58900E-05    -7.64100E-08
  432.994155     6.26600E-03     1.59600E-05    -7.91000E-08
  433.087917     6.29400E-03     1.60000E-05    -7.91300E-08
  433.181720     6.31600E-03     1.60400E-05    -7.97800E-08
  433.275563     6.33700E-03     1.60700E-05    -8.12200E-08
  433.369447     6.35900E-03     1.61100E-05    -8.18600E-08
  433.463372     6.38100E-03     1.61100E-05    -8.26500E-08
  433.557338     6.40100E-03     1.61900E-05    -8.18600E-08
  433.651344     6.42200E-03     1.62200E-05    -8.33000E-08
  433.745391     6.44400E-03     1.62600E-05    -8.39400E-08
  433.839479     6.46500E-03     1.63800E-05    -8.25700E-08
  433.933608     6.48800E-03     1.64100E-05    -8.46200E-08
  434.027778     6.50100E-03     1.63700E-05    -8.60600E-08
  434.121988     6.49900E-03     1.64100E-05    -8.60900E-08
  434.216240     6.49600E-03     1.63700E-05    -8.68500E-08
  434.310532     6.49300E-03     1.63700E-05    -8.68500E-08
  434.404865     6.48900E-03     1.64000E-05    -8.62700E-08
  434.499240     6.48600E-03     1.64000E-05    -8.62700E-08
  434.593655     6.48200E-03     1.64000E-05    -8.62700E-08
  434.688111     6.48000E-03     1.63600E-05    -8.77000E-08
  434.782609     6.47600E-03     1.64000E-05    -8.64500E-08
  434.877147     6.47300E-03     1.64000E-05    -8.78500E-08
  434.971727     6.47100E-03     1.63600E-05    -8.92800E-08
  435.066348     6.47000E-03     1.63600E-05    -8.78800E-08
  435.161010     6.47400E-03     1.64300E-05    -8.64800E-08
