    WLVAC         C0           C1           C2           BETA         RHO
 2.64700e+03  2.66852e+02 -3.52130e-02 -1.22445e-03  2.10472e+00  3.42227e-02
 2.64800e+03  2.63875e+02  3.53834e-04 -7.21096e-04  2.10119e+00  3.42167e-02
 2.64900e+03  2.60593e+02  1.89706e-02 -4.40150e-04  2.09767e+00  3.42107e-02
 2.65000e+03  2.57506e+02  1.00643e-02 -5.84489e-04  2.09416e+00  3.42047e-02
 2.65100e+03  2.56933e+02  5.63085e-03 -9.77883e-04  2.09065e+00  3.41987e-02
 2.65200e+03  2.55317e+02  1.46484e-02 -2.73274e-04  2.08715e+00  3.41927e-02
 2.65300e+03  2.55283e+02  7.06202e-03 -2.70457e-04  2.08366e+00  3.41867e-02
 2.65400e+03  2.55889e+02  6.21532e-03 -6.18667e-05  2.08018e+00  3.41807e-02
 2.65500e+03  2.57549e+02 -3.12829e-02 -7.03035e-04  2.07670e+00  3.41747e-02
 2.65600e+03  2.57375e+02 -3.78776e-02 -7.20169e-04  2.07323e+00  3.41688e-02
 2.65700e+03  2.56223e+02 -4.03680e-03 -1.29432e-04  2.06977e+00  3.41628e-02
 2.65800e+03  2.54699e+02  1.86857e-02  2.41628e-04  2.06631e+00  3.41568e-02
 2.65900e+03  2.54753e+02 -8.29643e-03 -2.16310e-04  2.06287e+00  3.41508e-02
 2.66000e+03  2.52480e+02 -7.73090e-03 -3.64799e-04  2.05943e+00  3.41448e-02
 2.66100e+03  2.50606e+02  1.54614e-02 -7.09987e-05  2.05599e+00  3.41388e-02
 2.66200e+03  2.49825e+02 -1.69231e-02 -7.22819e-04  2.05256e+00  3.41328e-02
 2.66300e+03  2.47926e+02  8.37477e-03 -2.02046e-04  2.04914e+00  3.41268e-02
 2.66400e+03  2.47311e+02  2.56245e-03 -3.36991e-04  2.04573e+00  3.41208e-02
 2.66500e+03  2.45653e+02 -6.39176e-03 -1.37682e-04  2.04232e+00  3.41148e-02
 2.66600e+03  2.43636e+02  2.98561e-02  3.52345e-04  2.03892e+00  3.41088e-02
 2.66700e+03  2.41839e+02  3.12451e-02  6.52049e-04  2.03553e+00  3.41028e-02
 2.66800e+03  2.38656e+02  4.34976e-02  5.65350e-04  2.03214e+00  3.40968e-02
 2.66900e+03  2.36341e+02  4.87986e-02  5.74468e-04  2.02876e+00  3.40908e-02
 2.67000e+03  2.34826e+02  2.05523e-02 -1.59013e-04  2.02540e+00  3.40848e-02
 2.67100e+03  2.33541e+02  2.76911e-02 -1.56680e-04  2.02202e+00  3.40788e-02
 2.67200e+03  2.33853e+02  3.45272e-03 -5.28204e-04  2.01867e+00  3.40728e-02
 2.67300e+03  2.35289e+02 -5.04314e-03 -6.04186e-04  2.01532e+00  3.40668e-02
 2.67400e+03  2.36877e+02 -1.77114e-02 -5.09616e-04  2.01198e+00  3.40608e-02
 2.67500e+03  2.37774e+02 -9.25485e-03  2.27746e-05  2.00863e+00  3.40548e-02
 2.67600e+03  2.38384e+02 -1.97128e-02 -1.95813e-04  2.00530e+00  3.40488e-02
 2.67700e+03  2.37473e+02  3.30692e-03  4.28014e-04  2.00198e+00  3.40428e-02
 2.67800e+03  2.35804e+02  1.64181e-02  5.79511e-04  1.99866e+00  3.40368e-02
 2.67900e+03  2.34950e+02  1.05046e-02  1.78019e-04  1.99535e+00  3.40308e-02
 2.68000e+03  2.32886e+02  1.92623e-02  1.83750e-04  1.99204e+00  3.40248e-02
 2.68100e+03  2.30897e+02  8.73665e-03  1.47426e-04  1.98875e+00  3.40188e-02
 2.68200e+03  2.28501e+02  3.29748e-02  1.45480e-04  1.98546e+00  3.40128e-02
 2.68300e+03  2.27149e+02  5.00726e-03 -2.98674e-04  1.98217e+00  3.40068e-02
 2.68400e+03  2.24647e+02  2.96967e-02 -3.07726e-05  1.97890e+00  3.40008e-02
 2.68500e+03  2.22033e+02  2.84878e-02 -6.50950e-05  1.97562e+00  3.39948e-02
 2.68600e+03  2.21352e+02  1.91826e-02 -1.33171e-04  1.97236e+00  3.39888e-02
 2.68700e+03  2.19491e+02  2.26834e-02  1.92384e-04  1.96910e+00  3.39828e-02
 2.68800e+03  2.18253e+02  2.24843e-02  5.16353e-05  1.96585e+00  3.39768e-02
 2.68900e+03  2.16959e+02  2.89777e-02  2.24502e-04  1.96260e+00  3.39708e-02
 2.69000e+03  2.15546e+02  2.63021e-02 -3.67606e-05  1.95937e+00  3.39648e-02
 2.69100e+03  2.14458e+02  2.06087e-02 -7.24156e-05  1.95614e+00  3.39588e-02
 2.69200e+03  2.13075e+02  3.24500e-02  2.13577e-04  1.95292e+00  3.39528e-02
 2.69300e+03  2.14626e+02 -8.80571e-03 -4.56123e-04  1.94970e+00  3.39468e-02
 2.69400e+03  2.15251e+02 -5.50541e-03 -5.18536e-04  1.94649e+00  3.39408e-02
 2.69500e+03  2.16985e+02 -1.78251e-02 -5.09778e-04  1.94328e+00  3.39348e-02
 2.69600e+03  2.18113e+02 -2.56904e-02 -5.30028e-04  1.94008e+00  3.39288e-02
 2.69700e+03  2.17950e+02 -7.77309e-03  1.56828e-04  1.93689e+00  3.39228e-02
 2.69800e+03  2.16336e+02  2.74451e-02  9.83495e-04  1.93370e+00  3.39168e-02
 2.69900e+03  2.16271e+02  2.37405e-02  3.33095e-04  1.93052e+00  3.39108e-02
 2.70000e+03  2.12308e+02  5.18469e-02  1.17724e-03  1.92735e+00  3.39048e-02
 2.70100e+03  2.11344e+02  1.88247e-02  2.91117e-04  1.92418e+00  3.38988e-02
 2.70200e+03  2.10071e+02  1.54988e-02 -9.91216e-05  1.92107e+00  3.38868e-02
 2.70300e+03  2.06746e+02  3.33254e-02  3.17112e-04  1.91795e+00  3.38758e-02
 2.70400e+03  2.04940e+02  5.67224e-02  8.95451e-04  1.91484e+00  3.38648e-02
 2.70500e+03  2.03656e+02  2.89127e-02  2.78989e-04  1.91174e+00  3.38538e-02
 2.70600e+03  2.02757e+02  1.20491e-02 -4.30005e-04  1.90864e+00  3.38428e-02
 2.70700e+03  2.00770e+02  2.92630e-02 -8.56135e-06  1.90554e+00  3.38319e-02
 2.70800e+03  1.99840e+02  1.65602e-02 -2.91272e-04  1.90246e+00  3.38208e-02
 2.70900e+03  1.98095e+02  2.04087e-02  2.86782e-04  1.89938e+00  3.38099e-02
 2.71000e+03  1.97118e+02  2.57962e-02 -6.21934e-05  1.89630e+00  3.37989e-02
 2.71100e+03  1.96366e+02  3.99647e-02  3.41723e-04  1.89323e+00  3.37879e-02
 2.71200e+03  1.95778e+02  3.86887e-02  3.86222e-04  1.89017e+00  3.37769e-02
 2.71300e+03  1.95082e+02  2.17097e-02  6.29943e-05  1.88712e+00  3.37659e-02
 2.71400e+03  1.93774e+02  1.68756e-02  2.20529e-04  1.88407e+00  3.37549e-02
 2.71500e+03  1.92534e+02  4.08367e-02  6.32629e-04  1.88103e+00  3.37439e-02
 2.71600e+03  1.93034e+02  4.65222e-03 -6.87266e-05  1.87799e+00  3.37329e-02
 2.71700e+03  1.92988e+02  1.15760e-02 -9.26261e-05  1.87496e+00  3.37219e-02
 2.71800e+03  1.92859e+02  2.80695e-02  2.32246e-04  1.87194e+00  3.37109e-02
 2.71900e+03  1.92120e+02  9.71255e-03  2.47725e-04  1.86892e+00  3.36999e-02
 2.72000e+03  1.90083e+02  4.38769e-02  9.24203e-04  1.86590e+00  3.36889e-02
 2.72100e+03  1.89134e+02  4.54988e-02  8.38493e-04  1.86290e+00  3.36779e-02
 2.72200e+03  1.87325e+02  3.41789e-02  5.37409e-04  1.85989e+00  3.36669e-02
 2.72300e+03  1.85301e+02  4.48262e-02  4.70335e-04  1.85690e+00  3.36559e-02
 2.72400e+03  1.83883e+02  6.93745e-02  8.71969e-04  1.85391e+00  3.36449e-02
 2.72500e+03  1.83143e+02  5.11422e-02  6.63001e-04  1.85092e+00  3.36339e-02
 2.72600e+03  1.82775e+02  3.26112e-02  1.73883e-04  1.84794e+00  3.36229e-02
 2.72700e+03  1.81731e+02  3.36497e-02  2.28533e-04  1.84497e+00  3.36119e-02
 2.72800e+03  1.79749e+02  5.29439e-02  4.41151e-04  1.84201e+00  3.36009e-02
 2.72900e+03  1.78988e+02  3.84183e-02  2.14761e-04  1.83905e+00  3.35899e-02
 2.73000e+03  1.78635e+02  1.85079e-02 -5.62454e-04  1.83610e+00  3.35789e-02
 2.73100e+03  1.78174e+02  3.04985e-02 -7.68199e-05  1.83315e+00  3.35679e-02
 2.73200e+03  1.77377e+02  7.11636e-03 -2.36562e-04  1.83021e+00  3.35569e-02
 2.73300e+03  1.76413e+02  1.11351e-02 -2.31637e-04  1.82727e+00  3.35459e-02
 2.73400e+03  1.74765e+02  2.68106e-02 -1.23695e-05  1.82434e+00  3.35349e-02
 2.73500e+03  1.71158e+02  5.15608e-02  8.95952e-04  1.82141e+00  3.35239e-02
 2.73600e+03  1.70074e+02  7.49738e-02  9.92240e-04  1.81849e+00  3.35129e-02
